Name,Block,RoomId,Beds Available,Beds Taken,Beds Remaining,Location,Size,Vacancy Status,Price per bed,Price,Super Lisiting,Listing Id
Block 5 Room 23,5,23,4,0,4,First Floor,Large,EMPTY,3000,12000,prontohostel,1
Block 5 Room 24,5,24,2,2,0,Terrace,Large,FULLY BOOKED,6200,12400,prontohostel,1
Block 5 Room 25,5,25,2,2,0,Terrace,Large,FULLY BOOKED,6200,12400,prontohostel,1
Block 5 Room 26,5,26,3,3,0,Second Floor,Large,FULLY BOOKED,4000,12000,prontohostel,1
Block 5 Room 27,5,27,2,2,0,Second Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 5 Room 28,5,28,2,2,0,Second Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 5 Room 29,5,29,4,0,4,Second Floor,Large,EMPTY,3000,12000,prontohostel,1
Block 5 Room 30,5,30,2,2,0,Second Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 5 Room 31,5,31,3,3,0,Second Floor,Large,FULLY BOOKED,4000,12000,prontohostel,1
Block 5 Room 32,5,32,3,2,1,Second Floor,Large,PARTIALLY BOOKED,4000,12000,prontohostel,1
Block 5 Room 33,5,33,3,3,0,Second Floor,Large,FULLY BOOKED,4000,12000,prontohostel,1
Block 5 Room 34,5,34,3,3,0,Second Floor,Large,FULLY BOOKED,4000,12000,prontohostel,1
Block 5 Room 35,5,35,2,2,0,Second Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 5 Room 36,5,36,2,2,0,Terrace,Large,FULLY BOOKED,6200,12400,prontohostel,1
Block 6 Room 1,6,1,3,3,0,Terrace,Large,FULLY BOOKED,4200,12600,prontohostel,1
Block 6 Room 2,6,2,4,2,2,Ground Floor,Large,PARTIALLY BOOKED,3000,12000,prontohostel,1
Block 6 Room 3,6,3,3,3,0,Ground Floor,Large,FULLY BOOKED,4000,12000,prontohostel,1
Block 6 Room 4,6,4,2,2,0,Ground Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 6 Room 5,6,5,3,3,0,Ground Floor,Large,FULLY BOOKED,4000,12000,prontohostel,1
Block 6 Room 6,6,6,2,2,0,Ground Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 6 Room 7,6,7,2,2,0,Ground Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 6 Room 8,6,8,4,1,3,Ground Floor,Large,PARTIALLY BOOKED,3000,12000,prontohostel,1
Block 6 Room 9,6,9,3,3,0,Ground Floor,Large,FULLY BOOKED,4000,12000,prontohostel,1
Block 6 Room 10,6,10,2,2,0,Ground Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 6 Room 11,6,11,3,3,0,Ground Floor,Large,FULLY BOOKED,4000,12000,prontohostel,1
Block 6 Room 12,6,12,4,4,0,Terrace,Large,FULLY BOOKED,3100,12400,prontohostel,1
Block 6 Room 13,6,13,2,2,0,Terrace,Large,FULLY BOOKED,6200,12400,prontohostel,1
Block 6 Room 14,6,14,2,2,0,First Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 6 Room 15,6,15,2,2,0,First Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 6 Room 16,6,16,2,1,1,First Floor,Large,PARTIALLY BOOKED,6000,12000,prontohostel,1
Block 6 Room 17,6,17,2,2,0,First Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 6 Room 18,6,18,2,2,0,First Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 6 Room 19,6,19,2,2,0,First Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 6 Room 20,6,20,2,2,0,First Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 6 Room 21,6,21,3,3,0,First Floor,Large,FULLY BOOKED,4000,12000,prontohostel,1
Block 6 Room 22,6,22,4,4,0,First Floor,Large,FULLY BOOKED,3000,12000,prontohostel,1
Block 6 Room 23,6,23,2,2,0,First Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 6 Room 24,6,24,2,2,0,Terrace,Large,FULLY BOOKED,6200,12400,prontohostel,1
Block 6 Room 25,6,25,2,2,0,Terrace,Large,FULLY BOOKED,6200,12400,prontohostel,1
Block 6 Room 26,6,26,3,2,1,Second Floor,Large,PARTIALLY BOOKED,4000,12000,prontohostel,1
Block 6 Room 27,6,27,2,2,0,Second Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 6 Room 28,6,28,3,3,0,Second Floor,Large,FULLY BOOKED,4000,12000,prontohostel,1
Block 6 Room 29,6,29,2,0,2,Second Floor,Large,EMPTY,6000,12000,prontohostel,1
Block 6 Room 30,6,30,2,2,0,Second Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 6 Room 31,6,31,2,2,0,Second Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 6 Room 32,6,32,3,1,2,Second Floor,Large,PARTIALLY BOOKED,4000,12000,prontohostel,1
Block 6 Room 33,6,33,2,2,0,Second Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 6 Room 34,6,34,3,2,1,Second Floor,Large,PARTIALLY BOOKED,4000,12000,prontohostel,1
Block 6 Room 35,6,35,2,2,0,Second Floor,Large,FULLY BOOKED,6000,12000,prontohostel,1
Block 6 Room 36,6,36,2,2,0,Terrace,Large,FULLY BOOKED,6200,12400,prontohostel,1
