Name,Beds Available,Beds Taken,Block,RoomId,Super Listing,listingId,fullAmount,Location,Size,Vacancy Status,Price per bed,Price,Listing Id,Level
D002,2,2,D,,cuoldgirls,1,"1,280.00",location,size,vacancystatus,0,0,1,300
D002,2,2,D,,cuoldgirls,1,"1,280.00",location,size,vacancystatus,0,0,1,300
D003,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
D003,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,3
D005,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,100
D005,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
D006,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
D006,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
D007A,2,2,D,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,200
D007A,2,2,D,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,200
D007B,2,2,D,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,200
D007B,2,2,D,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,300
D009,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,
D009,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,
D010,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,300
D010,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,300
D011,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,DIP
D011,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,
D012,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,300
D012,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,300
D101,3,3,D,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,300
D101,3,3,D,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,300
D101,3,3,D,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,200
D104,3,3,D,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,300
D104,3,3,D,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,300
D104,3,3,D,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,200
D108,3,3,D,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,200
D108,3,3,D,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,300
D108,3,3,D,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,200
D102,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
D102,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,450
D103,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,500
D103,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,400
D105,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,300
D105,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,300
D106,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,
D106,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,
D107,2,2,D,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,200
D107,2,2,D,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,200
D107B,2,2,D,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,200
D107B,2,2,D,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,3
D109,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
D109,2,2,D,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
